"species","synonyms"
"Allophryne relicta","Allophryne relicta"
"Allophryne resplendens","Allophryne resplendens"
"Allophryne ruthveni","Allophryne ruthveni"
"Allophryne ruthveni","Dryomelictes seabrai"
"Allophryne ruthveni","Sphaenorhynchus scabrai"
"Allophryne ruthveni","Sphoenohyla seabrai"
"Alsodes australis","Alsodes australis"
"Alsodes barrioi","Alsodes barrioi"
"Alsodes cantillanensis","Alsodes cantillanensis"
"Alsodes coppingeri","Alsodes coppingeri"
"Alsodes coppingeri","Borborocoetes coppingeri"
"Alsodes coppingeri","Cacotus coppingeri"
"Alsodes coppingeri","Eupsophus coppingeri"
"Alsodes gargola","Alsodes gargola"
"Alsodes gargola","Alsodes gargola gargola"
"Alsodes gargola","Eupsophus gargolus"
"Alsodes hugoi","Alsodes hugoi"
"Alsodes igneus","Alsodes igneus"
"Alsodes kaweshkari","Alsodes kaweshkari"
"Alsodes montanus","Alsodes montanus"
"Alsodes montanus","Eupsophus montanus"
"Alsodes montanus","Telmalsodes montanus"
"Alsodes montanus","Telmatobius montanus"
"Alsodes monticola","Alsodes monticola"
"Alsodes monticola","Cystignathus andinus"
"Alsodes monticola","Eupsophus monticola"
"Alsodes monticola","Leptodactylus andinus"
"Alsodes neuquensis","Alsodes gargola neuquensis"
"Alsodes neuquensis","Alsodes neuquensis"
"Alsodes nodosus","Alsodes illotus"
"Alsodes nodosus","Alsodes nodosus"
"Alsodes nodosus","Borborocoetes kriegi"
"Alsodes nodosus","Borborocoetes maculatus"
"Alsodes nodosus","Borborocoetes nodosus"
"Alsodes nodosus","Borborocoetus valdivianus"
"Alsodes nodosus","Cacotus maculatus"
"Alsodes nodosus","Cystignathus cinerascens"
"Alsodes nodosus","Cystignathus granulatus"
"Alsodes nodosus","Cystignathus nebulosus"
"Alsodes nodosus","Cystignathus nodosus"
"Alsodes nodosus","Cystignathus zebra"
"Alsodes nodosus","Cystignathus? coeruleogriseus"
"Alsodes nodosus","Eupsophus illotus"
"Alsodes nodosus","Eupsophus kriegi"
"Alsodes nodosus","Eupsophus maculatus"
"Alsodes nodosus","Eupsophus nebulosus"
"Alsodes nodosus","Eupsophus nodosus"
"Alsodes nodosus","Eusophus nodosus"
"Alsodes nodosus","Leptodactylus cinerascens"
"Alsodes nodosus","Leptodactylus coeruleogriseus"
"Alsodes nodosus","Leptodactylus granulatus"
"Alsodes nodosus","Leptodactylus zebra"
"Alsodes nodosus","Metaeus timidus"
"Alsodes nodosus","Paludicola illotus"
"Alsodes nodosus","Paludicola maculata"
"Alsodes nodosus","Paludicola marmorata"
"Alsodes nodosus","Paludicola muelleri"
"Alsodes nodosus","Paludicola nodosa"
"Alsodes nodosus","Pleurodema illota"
"Alsodes nodosus","Pleurodema nodosa"
"Alsodes norae","Alsodes norae"
"Alsodes pehuenche","Alsodes pehuenche"
"Alsodes pehuenche","Telmalsodes pehuenche"
"Alsodes tumultuosus","Alsodes tumultuosus"
"Alsodes valdiviensis","Alsodes valdiviensis"
"Alsodes vanzolinii","Alsodes vanzolinii"
"Alsodes vanzolinii","Eupsophus vanzolinii"
"Alsodes verrucosus","Alsodes verrucosus"
"Alsodes verrucosus","Borborocoetes verrucosus"
"Alsodes verrucosus","Borborocoetus andinus"
"Alsodes verrucosus","Borborocoetus verrucosus"
"Alsodes verrucosus","Eupsophus verrucosus"
"Alsodes vittatus","Alsodes vittatus"
"Alsodes vittatus","Cystignathus vittatus"
"Alsodes vittatus","Eupsophus vittatus"
"Alsodes vittatus","Leptodactylus vittatus"
"Eupsophus altor","Eupsophus altor"
"Eupsophus calcaratus","Borborocoetes calcaratus"
"Eupsophus calcaratus","Cacotus calcaratus"
"Eupsophus calcaratus","Eupsophus calcaratus"
"Eupsophus calcaratus","Zachaenus roseus"
"Eupsophus contulmoensis","Eupsophus contulmoensis"
"Eupsophus emiliopugini","Eupsophus emiliopugini"
"Eupsophus insularis","Borborocoetes insularis"
"Eupsophus insularis","Cystignathus (Borborocoetus ) insularis"
"Eupsophus insularis","Eupsophus grayii insularis"
"Eupsophus insularis","Eupsophus insularis"
"Eupsophus migueli","Eupsophus migueli"
"Eupsophus nahuelbutensis","Eleutherodactylus nahuelbutensis"
"Eupsophus nahuelbutensis","Eupsophus nahuelbutensis"
"Eupsophus roseus","Borborocoetes bibroni"
"Eupsophus roseus","Borborocoetes bibronii"
"Eupsophus roseus","Borborocoetes fasciatus"
"Eupsophus roseus","Borborocoetes grayii"
"Eupsophus roseus","Borborocoetes insularis var. ruber"
"Eupsophus roseus","Borborocoetes masareyi"
"Eupsophus roseus","Borborocoetes nigrita"
"Eupsophus roseus","Borborocoetes pliciferus"
"Eupsophus roseus","Borborocoetes roseus"
"Eupsophus roseus","Borborocoetus (Cystignathus) insularis var. ruber"
"Eupsophus roseus","Borborocoetus bibronii"
"Eupsophus roseus","Borborocoetus fasciatus"
"Eupsophus roseus","Borborocoetus grayi"
"Eupsophus roseus","Borborocoetus insularis var. ruber"
"Eupsophus roseus","Borborocoetus nigrita"
"Eupsophus roseus","Borborocoetus tympanicus"
"Eupsophus roseus","Cyclorhamphus fasciatus"
"Eupsophus roseus","Cystignathus (Borborocoetus) bibronii"
"Eupsophus roseus","Cystignathus (Borborocoetus) grayi"
"Eupsophus roseus","Cystignathus (Borborocoetus) nigrita"
"Eupsophus roseus","Cystignathus (Borborocoetus) tympanicus"
"Eupsophus roseus","Cystignathus bibronii"
"Eupsophus roseus","Cystignathus bödeckeri"
"Eupsophus roseus","Cystignathus Boedeckeri"
"Eupsophus roseus","Cystignathus fasciatus"
"Eupsophus roseus","Cystignathus fernandezi"
"Eupsophus roseus","Cystignathus grayi"
"Eupsophus roseus","Cystignathus insularis var. ruber"
"Eupsophus roseus","Cystignathus nigrita"
"Eupsophus roseus","Cystignathus oreophilus"
"Eupsophus roseus","Cystignathus oxiglossus"
"Eupsophus roseus","Cystignathus oxyglossus"
"Eupsophus roseus","Cystignathus pallidus"
"Eupsophus roseus","Cystignathus roseus"
"Eupsophus roseus","Cystignathus sylvestris"
"Eupsophus roseus","Cystignathus tympanicus"
"Eupsophus roseus","Eupsophus bibroni"
"Eupsophus roseus","Eupsophus grayi"
"Eupsophus roseus","Eupsophus grayii"
"Eupsophus roseus","Eupsophus grayii grayii"
"Eupsophus roseus","Eupsophus roseus"
"Eupsophus roseus","Eupsophus sylvestris"
"Eupsophus roseus","Leptodactylus boedeckeri"
"Eupsophus roseus","Leptodactylus fernandezi"
"Eupsophus roseus","Leptodactylus kreffti"
"Eupsophus roseus","Leptodactylus oreophilus"
"Eupsophus roseus","Leptodactylus oxyglossus"
"Eupsophus roseus","Leptodactylus pallidus"
"Eupsophus roseus","Platymantis kreffti"
"Eupsophus septentrionalis","Eupsophus queulensis"
"Eupsophus septentrionalis","Eupsophus septentrionalis"
"Eupsophus vertebralis","Eupsophus vertebralis"
"Limnomedusa macroglossa","Cystignathus macroglossus"
"Limnomedusa macroglossa","Leptodactylus nova-teutoniae"
"Limnomedusa macroglossa","Limnomedusa macroglossa"
"Limnomedusa macroglossa","Limnomedusa macroglossus"
"Limnomedusa macroglossa","Limnomedusa misionis"
"Limnomedusa macroglossa","Litopleura maritimum"
"Limnomedusa macroglossa","Rana (Limnomedusa) macroglossus"
"Limnomedusa macroglossa","Rana macroglossus"
"Alytes cisternasii","Alytes (Ammoryctis) cisternasii"
"Alytes cisternasii","Alytes cisternasii"
"Alytes cisternasii","Ammoryctis cisternasii"
"Alytes dickhilleni","Alytes (Alytes) dickhilleni"
"Alytes dickhilleni","Alytes dickhilleni"
"Alytes maurus","Alytes (Alytes) obstetricans maurus"
"Alytes maurus","Alytes (Baleaphryne) maurus"
"Alytes maurus","Alytes maurus"
"Alytes maurus","Alytes obstetricans maurus"
"Alytes maurus","Baleaphryne maurus"
"Alytes muletensis","Alytes (Alytes) muletensis"
"Alytes muletensis","Alytes (Baleaphryne) muletensis"
"Alytes muletensis","Alytes muletensis"
"Alytes muletensis","Baleaphryne muletensis"
"Alytes muletensis","Baleaphryne talaioticus"
"Alytes obstetricans","Alytes (Alytes) obstetricans almogavarii"
"Alytes obstetricans","Alytes (Alytes) obstetricans boscai"
"Alytes obstetricans","Alytes (Alytes) obstetricans obstetricans"
"Alytes obstetricans","Alytes (Alytes) obstetricans pertinax"
"Alytes obstetricans","Alytes campanisonus boscai"
"Alytes obstetricans","Alytes obstetricans"
"Alytes obstetricans","Alytes obstetricans almogavarii"
"Alytes obstetricans","Alytes obstetricans boscai"
"Alytes obstetricans","Alytes obstetricans de l'Islei"
"Alytes obstetricans","Alytes obstetricans obstetricans"
"Alytes obstetricans","Alytes obstetricans obstretricans"
"Alytes obstetricans","Alytes obstetricans pertinax"
"Alytes obstetricans","Alytes obstetricans var. boscae"
"Alytes obstetricans","Alytes obstetricans var. Boscae"
"Alytes obstetricans","Bombinator obstetricans"
"Alytes obstetricans","Bufo obstetricans"
"Alytes obstetricans","Obstetricans vulgaris"
"Alytes obstetricans","Rana obstetricans"
"Discoglossus galganoi","Discoglossus galganoi"
"Discoglossus galganoi","Discoglossus galganoi galganoi"
"Discoglossus galganoi","Discoglossus hispanicus"
"Discoglossus jeanneae","Discoglossus galganoi jeanneae"
"Discoglossus jeanneae","Discoglossus jeanneae"
"Discoglossus montalentii","Discoglossus montalentii"
"Discoglossus pictus","Colodactylus caerulescens"
"Discoglossus pictus","Colodactylus coerulescens"
"Discoglossus pictus","Discoglossus algirus"
"Discoglossus pictus","Discoglossus auritus"
"Discoglossus pictus","Discoglossus pictus"
"Discoglossus pictus","Discoglossus pictus auritus"
"Discoglossus pictus","Discoglossus pictus var. ocellata"
"Discoglossus pictus","Discoglossus pictus var. picta"
"Discoglossus pictus","Discoglossus pictus var. pictus"
"Discoglossus pictus","Discoglossus pictus var. vittata"
"Discoglossus pictus","Pseudes pictus"
"Discoglossus pictus","Pseudis picta"
"Discoglossus pictus","Rana picta"
"Discoglossus sardus","Discoglossus pictus sardus"
"Discoglossus sardus","Discoglossus pictus var. sardoa"
"Discoglossus sardus","Discoglossus pictus var. sardus"
"Discoglossus sardus","Discoglossus sardous"
"Discoglossus sardus","Discoglossus sardus"
"Discoglossus sardus","Pseudes sardus"
"Discoglossus sardus","Pseudis sardoa"
"Discoglossus sardus","Rana sardoa"
"Discoglossus sardus","Rana sardus"
"Discoglossus scovazzi","Discoglossus pictus scovazzi"
"Discoglossus scovazzi","Discoglossus scovazzi"
"Latonia nigriventer","Discoglossus nigriventer"
"Latonia nigriventer","Latonia nigriventer"
"Arthroleptis adelphus","Arthroleptis adelphus"
"Arthroleptis adolfifriederici","Abroscaphus adolfi-friederici"
"Arthroleptis adolfifriederici","Arthroleptis (Abroscaphus) adolfi-friederici"
"Arthroleptis adolfifriederici","Arthroleptis adolfi-friderici"
"Arthroleptis adolfifriederici","Arthroleptis adolfi-friederici"
"Arthroleptis adolfifriederici","Arthroleptis adolfifriederici"
"Arthroleptis adolfifriederici","Arthroleptis adolfifriederici adolfifriederici"
"Arthroleptis affinis","Abroscaphus affinis"
"Arthroleptis affinis","Arthroleptis adolfi-friederici leleupi"
"Arthroleptis affinis","Arthroleptis affinis"
"Arthroleptis affinis","Arthroleptis schoenebecki"
"Arthroleptis anotis","Arthroleptis anotis"
"Arthroleptis aureoli","Arthroleptis aureoli"
"Arthroleptis aureoli","Cardioglossa aureoli"
"Arthroleptis bioko","Arthroleptis bioko"
"Arthroleptis bivittatus","Arthroleptis bivittatus"
"Arthroleptis bivittatus","Schoutedenella bivittata"
"Arthroleptis brevipes","Abroscaphus brevipes"
"Arthroleptis brevipes","Arthroleptis brevipes"
"Arthroleptis carquejai","Abroscaphus carquejai"
"Arthroleptis carquejai","Arthroleptis (Arthroleptis) carquejai"
"Arthroleptis carquejai","Arthroleptis carquejai"
"Arthroleptis crusculum","Arthroleptis (Arthroleptulus) crusculum"
"Arthroleptis crusculum","Arthroleptis consculum"
"Arthroleptis crusculum","Arthroleptis crusculum"
"Arthroleptis crusculum","Arthroleptulus crusculum"
