"order","superfamily","family","subfamily","genus","species","url"
"Anura",NA,"Allophrynidae",NA,"Allophryne","Allophryne relicta","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Allophrynidae/Allophryne/Allophryne-relicta"
"Anura",NA,"Allophrynidae",NA,"Allophryne","Allophryne resplendens","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Allophrynidae/Allophryne/Allophryne-resplendens"
"Anura",NA,"Allophrynidae",NA,"Allophryne","Allophryne ruthveni","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Allophrynidae/Allophryne/Allophryne-ruthveni"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes australis","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-australis"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes barrioi","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-barrioi"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes cantillanensis","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-cantillanensis"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes coppingeri","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-coppingeri"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes gargola","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-gargola"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes hugoi","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-hugoi"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes igneus","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-igneus"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes kaweshkari","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-kaweshkari"
"Anura",NA,"Alsodidae",NA,"Alsodes","Alsodes montanus","http://research.amnh.org/vz/herpetology/amphibia/Amphibia/Anura/Alsodidae/Alsodes/Alsodes-montanus"
